0,-265,0,0,0,0
0,-273,0,0,0,0
0,-240,0,0,0,0
0,-267,0,0,0,0
0,-277,0,0,0,0
0,-260,0,0,0,0
0,-295,0,0,0,0
0,-278,0,0,0,0
0,-252,0,0,0,0
0,-243,0,0,0,0
0,-224,0,0,0,0
0,-268,0,0,0,0
0,-226,0,0,0,0
0,-281,0,0,0,0
0,-259,0,0,0,0
0,-227,0,0,0,0
0,-259,0,0,0,0
0,-270,0,0,0,0
0,-286,0,0,0,0
0,-241,0,0,0,0
0,-259,0,0,0,0
0,-267,0,0,0,0
0,-273,0,0,0,0
0,-249,0,0,0,0
0,-283,0,0,0,0
0,-262,0,0,0,0
0,-258,0,0,0,0
0,-246,0,0,0,0
0,-256,0,0,0,0
0,-246,0,0,0,0
0,-249,0,0,0,0
0,-245,0,0,0,0
0,-237,0,0,0,0
0,-243,0,0,0,0
0,-244,0,0,0,0
0,-259,0,0,0,0
0,-264,0,0,0,0
0,-242,0,0,0,0
0,-258,0,0,0,0
0,-260,0,0,0,0
0,-305,0,0,0,0
0,-251,0,0,0,0
0,-272,0,0,0,0
0,-279,0,0,0,0
0,-269,0,0,0,0
0,-245,0,0,0,0
0,-248,0,0,0,0
0,-251,0,0,0,0
0,-253,0,0,0,0
0,-293,0,0,0,0
0,-268,0,0,0,0
0,-225,0,0,0,0
0,-286,0,0,0,0
0,-258,0,0,0,0
0,-239,0,0,0,0
0,-263,0,0,0,0
0,-254,0,0,0,0
0,-238,0,0,0,0
0,-237,0,0,0,0
0,-263,0,0,0,0
0,-253,0,0,0,0
0,-239,0,0,0,0
0,-223,0,0,0,0
0,-247,0,0,0,0
0,-262,0,0,0,0
0,-238,0,0,0,0
0,-273,0,0,0,0
0,-239,0,0,0,0
0,-267,0,0,0,0
0,-259,0,0,0,0
0,-249,0,0,0,0
0,-236,0,0,0,0
0,-277,0,0,0,0
0,-227,0,0,0,0
0,-265,0,0,0,0
0,-234,0,0,0,0
0,-286,0,0,0,0
0,-255,0,0,0,0
0,-269,0,0,0,0
0,-262,0,0,0,0
0,-250,0,0,0,0
0,-253,0,0,0,0
0,-260,0,0,0,0
0,-274,0,0,0,0
0,-239,0,0,0,0
0,-266,0,0,0,0
0,-255,0,0,0,0
0,-239,0,0,0,0
0,-253,0,0,0,0
0,-260,0,0,0,0
0,-236,0,0,0,0
0,-267,0,0,0,0
0,-272,0,0,0,0
0,-239,0,0,0,0
0,-278,0,0,0,0
0,-236,0,0,0,0
0,-235,0,0,0,0
0,-255,0,0,0,0
0,-244,0,0,0,0
0,-244,0,0,0,0
0,-253,0,0,0,0
0,-245,0,0,0,0
0,-269,0,0,0,0
0,-244,0,0,0,0
0,-249,0,0,0,0
0,-254,0,0,0,0
0,-286,0,0,0,0
0,-247,0,0,0,0
0,-269,0,0,0,0
0,-270,0,0,0,0
0,-245,0,0,0,0
0,-266,0,0,0,0
0,-258,0,0,0,0
0,-253,0,0,0,0
0,-277,0,0,0,0
0,-256,0,0,0,0
0,-251,0,0,0,0
0,-251,0,0,0,0
0,-217,0,0,0,0
0,-295,0,0,0,0
0,-229,0,0,0,0
0,-254,0,0,0,0
0,-269,0,0,0,0
0,-259,0,0,0,0
0,-274,0,0,0,0
0,-263,0,0,0,0
0,-280,0,0,0,0
0,-248,0,0,0,0
0,-253,0,0,0,0
0,-268,0,0,0,0
0,-250,0,0,0,0
0,-241,0,0,0,0
0,-260,0,0,0,0
0,-261,0,0,0,0
0,-275,0,0,0,0
0,-268,0,0,0,0
0,-254,0,0,0,0
0,-260,0,0,0,0
0,-248,0,0,0,0
0,-255,0,0,0,0
0,-259,0,0,0,0
0,-271,0,0,0,0
0,-255,0,0,0,0
0,-240,0,0,0,0
0,-279,0,0,0,0
0,-251,0,0,0,0
0,-251,0,0,0,0
0,-256,0,0,0,0
0,-234,0,0,0,0
0,-275,0,0,0,0
0,-248,0,0,0,0
0,-260,0,0,0,0
0,-262,0,0,0,0
0,-295,0,0,0,0
0,-209,0,0,0,0
0,-220,0,0,0,0
0,-277,0,0,0,0
0,-297,0,0,0,0
0,-271,0,0,0,0
0,-244,0,0,0,0
0,-246,0,0,0,0
0,-256,0,0,0,0
0,-240,0,0,0,0
0,-273,0,0,0,0
0,-270,0,0,0,0
0,-263,0,0,0,0
0,-253,0,0,0,0
0,-234,0,0,0,0
0,-234,0,0,0,0
0,-249,0,0,0,0
0,-252,0,0,0,0
0,-245,0,0,0,0
0,-257,0,0,0,0
0,-250,0,0,0,0
0,-266,0,0,0,0
0,-243,0,0,0,0
0,-272,0,0,0,0
0,-277,0,0,0,0
0,-274,0,0,0,0
0,-252,0,0,0,0
0,-274,0,0,0,0
0,-269,0,0,0,0
0,-245,0,0,0,0
0,-281,0,0,0,0
0,-276,0,0,0,0
0,-267,0,0,0,0
0,-243,0,0,0,0
0,-243,0,0,0,0
0,-255,0,0,0,0
0,-205,0,0,0,0
0,-258,0,0,0,0
0,-259,0,0,0,0
0,-267,0,0,0,0
0,-240,0,0,0,0
0,-244,0,0,0,0
0,-242,0,0,0,0
0,-279,0,0,0,0
0,-234,0,0,0,0
0,-248,0,0,0,0
0,-236,0,0,0,0
0,-236,0,0,0,0
0,-296,0,0,0,0
0,-251,0,0,0,0
0,-273,0,0,0,0
0,-241,0,0,0,0
0,-269,0,0,0,0
0,-268,0,0,0,0
0,-249,0,0,0,0
0,-256,0,0,0,0
0,-264,0,0,0,0
0,-254,0,0,0,0
0,-284,0,0,0,0
0,-242,0,0,0,0
0,-239,0,0,0,0
0,-259,0,0,0,0
0,-272,0,0,0,0
0,-216,0,0,0,0
0,-242,0,0,0,0
0,-290,0,0,0,0
0,-284,0,0,0,0
0,-240,0,0,0,0
0,-271,0,0,0,0
0,-276,0,0,0,0
0,-222,0,0,0,0
0,-247,0,0,0,0
0,-262,0,0,0,0
0,-224,0,0,0,0
0,-248,0,0,0,0
0,-274,0,0,0,0
0,-252,0,0,0,0
0,-212,0,0,0,0
0,-237,0,0,0,0
0,-237,0,0,0,0
0,-237,0,0,0,0
0,-259,0,0,0,0
0,-277,0,0,0,0
0,-259,0,0,0,0
0,-243,0,0,0,0
0,-273,0,0,0,0
0,-265,0,0,0,0
0,-257,0,0,0,0
0,-272,0,0,0,0
0,-244,0,0,0,0
0,-246,0,0,0,0
0,-213,0,0,0,0
0,-256,0,0,0,0
0,-265,0,0,0,0
0,-253,0,0,0,0
0,-260,0,0,0,0
0,-239,0,0,0,0
0,-273,0,0,0,0
0,-257,0,0,0,0
0,-234,0,0,0,0
0,-254,0,0,0,0
0,-241,0,0,0,0
0,-252,0,0,0,0
0,-275,0,0,0,0
0,-255,0,0,0,0
0,-183,0,0,0,0
0,-267,0,0,0,0
0,-268,0,0,0,0
0,-241,0,0,0,0
0,-219,0,0,0,0
0,-232,0,0,0,0
0,-248,0,0,0,0
0,-230,0,0,0,0
0,-243,0,0,0,0
0,-266,0,0,0,0
0,-269,0,0,0,0
0,-245,0,0,0,0
0,-260,0,0,0,0
0,-239,0,0,0,0
0,-255,0,0,0,0
0,-268,0,0,0,0
0,-251,0,0,0,0
0,-239,0,0,0,0
0,-252,0,0,0,0
0,-251,0,0,0,0
0,-251,0,0,0,0
0,-286,0,0,0,0
0,-276,0,0,0,0
0,-225,0,0,0,0
0,-231,0,0,0,0
0,-232,0,0,0,0
0,-261,0,0,0,0
0,-221,0,0,0,0
0,-258,0,0,0,0
0,-246,0,0,0,0
0,-243,0,0,0,0
0,-263,0,0,0,0
0,-269,0,0,0,0
0,-283,0,0,0,0
0,-268,0,0,0,0
0,-243,0,0,0,0
0,-269,0,0,0,0
0,-242,0,0,0,0
0,-296,0,0,0,0
0,-308,0,0,0,0
0,-276,0,0,0,0
0,-243,0,0,0,0
0,-258,0,0,0,0
0,-293,0,0,0,0
0,-257,0,0,0,0
0,-247,0,0,0,0
0,-267,0,0,0,0
0,-219,0,0,0,0
0,-269,0,0,0,0
0,-271,0,0,0,0
0,-259,0,0,0,0
0,-235,0,0,0,0
0,-266,0,0,0,0
0,-264,0,0,0,0
0,-251,0,0,0,0
0,-254,0,0,0,0
0,-278,0,0,0,0
0,-240,0,0,0,0
0,-250,0,0,0,0
0,-261,0,0,0,0
0,-254,0,0,0,0
0,-252,0,0,0,0
0,-242,0,0,0,0
0,-281,0,0,0,0
0,-229,0,0,0,0
0,-236,0,0,0,0
0,-239,0,0,0,0
0,-288,0,0,0,0
0,-240,0,0,0,0
0,-232,0,0,0,0
0,-250,0,0,0,0
0,-272,0,0,0,0
0,-249,0,0,0,0
0,-264,0,0,0,0
0,-276,0,0,0,0
0,-262,0,0,0,0
0,-272,0,0,0,0
0,-258,0,0,0,0
0,-259,0,0,0,0
0,-290,0,0,0,0
0,-253,0,0,0,0
0,-266,0,0,0,0
0,-254,0,0,0,0
0,-261,0,0,0,0
0,-235,0,0,0,0
0,-276,0,0,0,0
0,-256,0,0,0,0
0,-185,0,0,0,0
0,-262,0,0,0,0
0,-213,0,0,0,0
0,-244,0,0,0,0
0,-252,0,0,0,0
0,-275,0,0,0,0
0,-277,0,0,0,0
0,-258,0,0,0,0
0,-246,0,0,0,0
0,-249,0,0,0,0
0,-252,0,0,0,0
0,-267,0,0,0,0
0,-250,0,0,0,0
0,-230,0,0,0,0
0,-292,0,0,0,0
0,-246,0,0,0,0
0,-254,0,0,0,0
0,-269,0,0,0,0
0,-301,0,0,0,0
0,-239,0,0,0,0
0,-237,0,0,0,0
0,-257,0,0,0,0
0,-252,0,0,0,0
0,-233,0,0,0,0
0,-222,0,0,0,0
0,-255,0,0,0,0
0,-263,0,0,0,0
0,-224,0,0,0,0
0,-246,0,0,0,0
0,-257,0,0,0,0
0,-263,0,0,0,0
0,-240,0,0,0,0
0,-262,0,0,0,0
0,-240,0,0,0,0
0,-237,0,0,0,0
0,-318,0,0,0,0
0,-275,0,0,0,0
0,-242,0,0,0,0
0,-278,0,0,0,0
0,-221,0,0,0,0
0,-235,0,0,0,0
0,-269,0,0,0,0
0,-236,0,0,0,0
0,-248,0,0,0,0
0,-282,0,0,0,0
0,-240,0,0,0,0
0,-232,0,0,0,0
0,-219,0,0,0,0
0,-268,0,0,0,0
0,-272,0,0,0,0
0,-266,0,0,0,0
0,-293,0,0,0,0
0,-242,0,0,0,0
0,-256,0,0,0,0
0,-257,0,0,0,0
0,-259,0,0,0,0
0,-276,0,0,0,0
0,-250,0,0,0,0
0,-250,0,0,0,0
0,-275,0,0,0,0
0,-277,0,0,0,0
0,-274,0,0,0,0
0,-269,0,0,0,0
0,-260,0,0,0,0
0,-262,0,0,0,0
0,-242,0,0,0,0
0,-261,0,0,0,0
0,-245,0,0,0,0
0,-259,0,0,0,0
0,-228,0,0,0,0
0,-271,0,0,0,0
0,-256,0,0,0,0
0,-253,0,0,0,0
0,-265,0,0,0,0
0,-245,0,0,0,0
0,-263,0,0,0,0
0,-269,0,0,0,0
0,-273,0,0,0,0
0,-252,0,0,0,0
0,-255,0,0,0,0
0,-271,0,0,0,0
0,-253,0,0,0,0
0,-270,0,0,0,0
0,-273,0,0,0,0
0,-259,0,0,0,0
0,-245,0,0,0,0
0,-228,0,0,0,0
0,-245,0,0,0,0
0,-268,0,0,0,0
0,-256,0,0,0,0
0,-263,0,0,0,0
0,-255,0,0,0,0
0,-290,0,0,0,0
0,-247,0,0,0,0
0,-264,0,0,0,0
0,-237,0,0,0,0
0,-223,0,0,0,0
0,-317,0,0,0,0
0,-250,0,0,0,0
0,-273,0,0,0,0
0,-261,0,0,0,0
0,-243,0,0,0,0
0,-241,0,0,0,0
0,-280,0,0,0,0
0,-215,0,0,0,0
0,-200,0,0,0,0
0,-265,0,0,0,0
0,-239,0,0,0,0
0,-234,0,0,0,0
0,-249,0,0,0,0
0,-249,0,0,0,0
0,-242,0,0,0,0
0,-278,0,0,0,0
0,-266,0,0,0,0
0,-255,0,0,0,0
0,-221,0,0,0,0
0,-277,0,0,0,0
0,-247,0,0,0,0
0,-243,0,0,0,0
0,-237,0,0,0,0
0,-250,0,0,0,0
0,-254,0,0,0,0
0,-242,0,0,0,0
0,-253,0,0,0,0
0,-289,0,0,0,0
0,-277,0,0,0,0
0,-247,0,0,0,0
0,-289,0,0,0,0
0,-266,0,0,0,0
0,-249,0,0,0,0
0,-248,0,0,0,0
0,-266,0,0,0,0
0,-271,0,0,0,0
0,-227,0,0,0,0
0,-252,0,0,0,0
0,-231,0,0,0,0
0,-258,0,0,0,0
0,-224,0,0,0,0
0,-292,0,0,0,0
0,-220,0,0,0,0
0,-289,0,0,0,0
0,-262,0,0,0,0
0,-259,0,0,0,0
0,-264,0,0,0,0
0,-257,0,0,0,0
0,-279,0,0,0,0
0,-240,0,0,0,0
0,-251,0,0,0,0
0,-281,0,0,0,0
0,-239,0,0,0,0
0,-275,0,0,0,0
0,-225,0,0,0,0
0,-319,0,0,0,0
0,-287,0,0,0,0
0,-256,0,0,0,0
0,-244,0,0,0,0
0,-262,0,0,0,0
0,-253,0,0,0,0
0,-256,0,0,0,0
0,-248,0,0,0,0
0,-225,0,0,0,0
0,-272,0,0,0,0
0,-261,0,0,0,0
0,-255,0,0,0,0
0,-249,0,0,0,0
0,-281,0,0,0,0
0,-241,0,0,0,0
0,-273,0,0,0,0
0,-253,0,0,0,0
0,-251,0,0,0,0
0,-243,0,0,0,0
0,-237,0,0,0,0
0,-215,0,0,0,0
0,-237,0,0,0,0
0,-291,0,0,0,0
0,-257,0,0,0,0
0,-267,0,0,0,0
0,-234,0,0,0,0
0,-194,0,0,0,0
0,-273,0,0,0,0
0,-240,0,0,0,0
0,-272,0,0,0,0
0,-273,0,0,0,0
0,-277,0,0,0,0
0,-257,0,0,0,0
0,-255,0,0,0,0
0,-254,0,0,0,0
0,-293,0,0,0,0
0,-229,0,0,0,0
0,-248,0,0,0,0
0,-224,0,0,0,0
0,-244,0,0,0,0
0,-235,0,0,0,0
0,-256,0,0,0,0
0,-232,0,0,0,0
0,-281,0,0,0,0
0,-252,0,0,0,0
0,-252,0,0,0,0
0,-268,0,0,0,0
0,-280,0,0,0,0
0,-250,0,0,0,0
0,-255,0,0,0,0
0,-250,0,0,0,0
0,-262,0,0,0,0
0,-255,0,0,0,0
0,-249,0,0,0,0
0,-233,0,0,0,0
0,-252,0,0,0,0
0,-264,0,0,0,0
0,-274,0,0,0,0
0,-275,0,0,0,0
0,-249,0,0,0,0
0,-242,0,0,0,0
0,-280,0,0,0,0
0,-231,0,0,0,0
0,-239,0,0,0,0
0,-233,0,0,0,0
0,-264,0,0,0,0
0,-285,0,0,0,0
0,-274,0,0,0,0
0,-266,0,0,0,0
0,-279,0,0,0,0
0,-237,0,0,0,0
0,-272,0,0,0,0
0,-250,0,0,0,0
0,-244,0,0,0,0
0,-293,0,0,0,0
0,-277,0,0,0,0
0,-219,0,0,0,0
0,-208,0,0,0,0
0,-255,0,0,0,0
0,-275,0,0,0,0
0,-256,0,0,0,0
0,-241,0,0,0,0
0,-270,0,0,0,0
0,-268,0,0,0,0
0,-294,0,0,0,0
0,-230,0,0,0,0
0,-258,0,0,0,0
0,-249,0,0,0,0
0,-256,0,0,0,0
0,-240,0,0,0,0
0,-232,0,0,0,0
0,-262,0,0,0,0
0,-271,0,0,0,0
0,-250,0,0,0,0
0,-283,0,0,0,0
0,-231,0,0,0,0
0,-287,0,0,0,0
0,-265,0,0,0,0
0,-253,0,0,0,0
0,-242,0,0,0,0
0,-213,0,0,0,0
0,-231,0,0,0,0
0,-206,0,0,0,0
0,-286,0,0,0,0
0,-250,0,0,0,0
0,-273,0,0,0,0
0,-260,0,0,0,0
0,-272,0,0,0,0
0,-232,0,0,0,0
0,-218,0,0,0,0
0,-269,0,0,0,0
0,-250,0,0,0,0
0,-212,0,0,0,0
0,-269,0,0,0,0
0,-212,0,0,0,0
0,-228,0,0,0,0
0,-284,0,0,0,0
0,-265,0,0,0,0
0,-245,0,0,0,0
0,-246,0,0,0,0
0,-277,0,0,0,0
0,-250,0,0,0,0
0,-232,0,0,0,0
0,-255,0,0,0,0
0,-239,0,0,0,0
0,-270,0,0,0,0
0,-264,0,0,0,0
0,-236,0,0,0,0
0,-269,0,0,0,0
0,-282,0,0,0,0
0,-261,0,0,0,0
0,-226,0,0,0,0
0,-271,0,0,0,0
0,-251,0,0,0,0
0,-269,0,0,0,0
0,-262,0,0,0,0
0,-271,0,0,0,0
0,-252,0,0,0,0
0,-236,0,0,0,0
0,-250,0,0,0,0
0,-266,0,0,0,0
0,-281,0,0,0,0
0,-307,0,0,0,0
0,-252,0,0,0,0
0,-251,0,0,0,0
0,-247,0,0,0,0
0,-278,0,0,0,0
0,-268,0,0,0,0
0,-275,0,0,0,0
0,-260,0,0,0,0
0,-238,0,0,0,0
0,-265,0,0,0,0
0,-278,0,0,0,0
0,-273,0,0,0,0
0,-209,0,0,0,0
0,-221,0,0,0,0
0,-247,0,0,0,0
0,-271,0,0,0,0
0,-239,0,0,0,0
0,-256,0,0,0,0
0,-264,0,0,0,0
0,-241,0,0,0,0
0,-247,0,0,0,0
0,-253,0,0,0,0
0,-240,0,0,0,0
0,-250,0,0,0,0
0,-270,0,0,0,0
0,-225,0,0,0,0
0,-313,0,0,0,0
0,-252,0,0,0,0
0,-300,0,0,0,0
0,-244,0,0,0,0
0,-244,0,0,0,0
0,-238,0,0,0,0
0,-223,0,0,0,0
0,-264,0,0,0,0
0,-252,0,0,0,0
0,-263,0,0,0,0
0,-214,0,0,0,0
0,-237,0,0,0,0
0,-246,0,0,0,0
0,-255,0,0,0,0
0,-258,0,0,0,0
0,-253,0,0,0,0
0,-262,0,0,0,0
0,-245,0,0,0,0
0,-235,0,0,0,0
0,-262,0,0,0,0
0,-253,0,0,0,0
0,-242,0,0,0,0
0,-292,0,0,0,0
0,-272,0,0,0,0
0,-255,0,0,0,0
0,-230,0,0,0,0
0,-262,0,0,0,0
0,-252,0,0,0,0
0,-258,0,0,0,0
0,-255,0,0,0,0
0,-281,0,0,0,0
0,-280,0,0,0,0
0,-246,0,0,0,0
0,-231,0,0,0,0
0,-264,0,0,0,0
0,-254,0,0,0,0
0,-257,0,0,0,0
0,-257,0,0,0,0
0,-273,0,0,0,0
0,-224,0,0,0,0
0,-256,0,0,0,0
0,-270,0,0,0,0
0,-257,0,0,0,0
0,-218,0,0,0,0
0,-229,0,0,0,0
0,-237,0,0,0,0
0,-260,0,0,0,0
0,-242,0,0,0,0
0,-281,0,0,0,0
0,-247,0,0,0,0
0,-233,0,0,0,0
0,-251,0,0,0,0
0,-207,0,0,0,0
0,-268,0,0,0,0
0,-236,0,0,0,0
0,-238,0,0,0,0
0,-262,0,0,0,0
0,-250,0,0,0,0
0,-235,0,0,0,0
0,-265,0,0,0,0
0,-250,0,0,0,0
0,-249,0,0,0,0
0,-246,0,0,0,0
0,-239,0,0,0,0
0,-232,0,0,0,0
0,-253,0,0,0,0
0,-281,0,0,0,0
0,-277,0,0,0,0
0,-253,0,0,0,0
0,-272,0,0,0,0
0,-263,0,0,0,0
0,-260,0,0,0,0
0,-238,0,0,0,0
0,-241,0,0,0,0
0,-261,0,0,0,0
0,-281,0,0,0,0
0,-267,0,0,0,0
0,-263,0,0,0,0
0,-222,0,0,0,0
0,-271,0,0,0,0
0,-249,0,0,0,0
0,-266,0,0,0,0
0,-288,0,0,0,0
0,-255,0,0,0,0
0,-281,0,0,0,0
0,-263,0,0,0,0
0,-232,0,0,0,0
0,-255,0,0,0,0
0,-219,0,0,0,0
0,-270,0,0,0,0
0,-286,0,0,0,0
0,-269,0,0,0,0
0,-235,0,0,0,0
0,-272,0,0,0,0
0,-247,0,0,0,0
0,-258,0,0,0,0
0,-264,0,0,0,0
0,-240,0,0,0,0
0,-237,0,0,0,0
0,-269,0,0,0,0
0,-261,0,0,0,0
0,-250,0,0,0,0
0,-234,0,0,0,0
0,-285,0,0,0,0
0,-275,0,0,0,0
0,-266,0,0,0,0
0,-249,0,0,0,0
0,-264,0,0,0,0
0,-277,0,0,0,0
0,-228,0,0,0,0
0,-224,0,0,0,0
0,-228,0,0,0,0
0,-264,0,0,0,0
0,-225,0,0,0,0
0,-231,0,0,0,0
0,-269,0,0,0,0
0,-223,0,0,0,0
0,-255,0,0,0,0
0,-297,0,0,0,0
0,-236,0,0,0,0
0,-240,0,0,0,0
0,-244,0,0,0,0
0,-241,0,0,0,0
0,-266,0,0,0,0
0,-275,0,0,0,0
0,-236,0,0,0,0
0,-243,0,0,0,0
0,-263,0,0,0,0
0,-215,0,0,0,0
0,-248,0,0,0,0
0,-237,0,0,0,0
0,-254,0,0,0,0
0,-253,0,0,0,0
0,-277,0,0,0,0
0,-251,0,0,0,0
0,-200,0,0,0,0
0,-274,0,0,0,0
0,-276,0,0,0,0
0,-287,0,0,0,0
0,-252,0,0,0,0
0,-226,0,0,0,0
0,-225,0,0,0,0
0,-242,0,0,0,0
0,-268,0,0,0,0
0,-258,0,0,0,0
0,-238,0,0,0,0
0,-267,0,0,0,0
0,-252,0,0,0,0
0,-237,0,0,0,0
0,-237,0,0,0,0
0,-264,0,0,0,0
0,-244,0,0,0,0
0,-247,0,0,0,0
0,-238,0,0,0,0
0,-275,0,0,0,0
0,-255,0,0,0,0
0,-221,0,0,0,0
0,-242,0,0,0,0
0,-241,0,0,0,0
0,-255,0,0,0,0
0,-259,0,0,0,0
0,-280,0,0,0,0
0,-256,0,0,0,0
0,-249,0,0,0,0
0,-229,0,0,0,0
0,-271,0,0,0,0
0,-270,0,0,0,0
0,-230,0,0,0,0
0,-281,0,0,0,0
0,-263,0,0,0,0
0,-264,0,0,0,0
0,-286,0,0,0,0
0,-239,0,0,0,0
0,-252,0,0,0,0
0,-228,0,0,0,0
0,-264,0,0,0,0
0,-223,0,0,0,0
0,-238,0,0,0,0
0,-260,0,0,0,0
0,-277,0,0,0,0
0,-260,0,0,0,0
0,-250,0,0,0,0
0,-244,0,0,0,0
0,-265,0,0,0,0
0,-259,0,0,0,0
0,-259,0,0,0,0
0,-236,0,0,0,0
0,-253,0,0,0,0
0,-245,0,0,0,0
0,-223,0,0,0,0
0,-259,0,0,0,0
0,-258,0,0,0,0
0,-247,0,0,0,0
0,-279,0,0,0,0
0,-210,0,0,0,0
0,-246,0,0,0,0
0,-243,0,0,0,0
0,-271,0,0,0,0
0,-274,0,0,0,0
0,-244,0,0,0,0
0,-283,0,0,0,0
0,-222,0,0,0,0
0,-250,0,0,0,0
0,-268,0,0,0,0
0,-277,0,0,0,0
0,-266,0,0,0,0
0,-238,0,0,0,0
0,-287,0,0,0,0
0,-255,0,0,0,0
0,-257,0,0,0,0
0,-275,0,0,0,0
0,-251,0,0,0,0
0,-300,0,0,0,0
0,-236,0,0,0,0
0,-272,0,0,0,0
0,-241,0,0,0,0
0,-278,0,0,0,0
0,-261,0,0,0,0
0,-244,0,0,0,0
0,-258,0,0,0,0
0,-223,0,0,0,0
0,-278,0,0,0,0
0,-266,0,0,0,0
0,-284,0,0,0,0
0,-282,0,0,0,0
0,-260,0,0,0,0
0,-264,0,0,0,0
0,-271,0,0,0,0
0,-274,0,0,0,0
0,-259,0,0,0,0
0,-245,0,0,0,0
0,-271,0,0,0,0
0,-270,0,0,0,0
0,-253,0,0,0,0
0,-276,0,0,0,0
0,-254,0,0,0,0
0,-244,0,0,0,0
0,-271,0,0,0,0
0,-245,0,0,0,0
0,-253,0,0,0,0
0,-254,0,0,0,0
0,-263,0,0,0,0
0,-225,0,0,0,0
0,-276,0,0,0,0
0,-255,0,0,0,0
0,-254,0,0,0,0
0,-288,0,0,0,0
0,-293,0,0,0,0
0,-209,0,0,0,0
0,-243,0,0,0,0
0,-296,0,0,0,0
0,-246,0,0,0,0
0,-225,0,0,0,0
0,-228,0,0,0,0
0,-222,0,0,0,0
0,-231,0,0,0,0
